Phase,Area,Item,What it does,Needed to start selling,Depends on,Status
8,Orders,Guest checkout,"Buy without an account",Helpful,Checkout,PENDING
9,Returns,Return requests,"Customer requests; admin approves, receives, restocks",No,Phase 8,PENDING
9,Returns,Refunds,"Refunds the exact allocated line amount; reverses the exact COGS",No,Returns,PENDING
9,Returns,RTO handling,"Failed COD delivery returns stock with no revenue to unwind",Helpful,Phase 8,PENDING
9,Marketing,Coupons,"Percentage/fixed/free-shipping, limits, expiry, restrictions",Helpful,Phase 8,PENDING
9,Marketing,Discount campaigns,"Scheduled category-wide or product-wide sales",No,Phase 8,PENDING
10,Marketing,Reward points,"Earn/redeem/expire as a real GL liability, not a counter",No,Phase 8,PENDING
10,Marketing,Affiliate system,"Codes, clicks, commissions, reversal on refund, payouts",No,Phase 8,PENDING
11,Money,Expenses,"Rent, salary, marketing, delivery, packaging; each posts to the ledger",Helpful,Phase 3,PENDING
11,Money,Other income,"Income outside sales",No,Phase 3,PENDING
11,Reports,21 reports,"Sales, purchase, COGS, profit, cash flow, AR/AP, product profitability",Helpful,Phases 5-10,PENDING
11,Reports,Admin dashboard,"Today's sales, profit, low stock, pending orders, charts",Helpful,Reports,PENDING
12,Notifications,Email & SMS,"Order confirmation, status updates, delivery notice",Helpful,Phase 8,PENDING
12,Notifications,SMS OTP password reset,"Phone-only accounts cannot reset by email today",Helpful,Notifications,PENDING
12,SEO,Sitemap & structured data,"Product schema, sitemap.xml, redirects, canonical URLs",Helpful,Phase 4,PENDING
12,Accounting,Balance sheet endpoint,"Data already exists; only the presentation is missing",No,Phase 3,PENDING
12,Accounting,Year-end closing entry,"Sweeps P&L into retained earnings at year end",No,Phase 3,PENDING
12,Accounting,Landed cost adjustment,"Freight invoices that arrive after the goods",No,Phase 6,PENDING
12,Performance,Account period balance cache,"Only needed if the trial balance slows on shared hosting",No,Phase 3,PENDING
13,Hardening,Parallel concurrency tests,"Prove the row locks hold: 100 buyers, 100 units, exactly 100 sold",Before launch,Phase 8,PENDING
13,Hardening,Load testing,"Confirm shared hosting copes with real traffic",Before launch,Phase 8,PENDING
13,Hardening,Security review,"Full pass over auth, uploads, rate limits, authorisation",Before launch,All,PENDING
14,Deploy,cPanel deployment,"Laravel outside web root, SPA fallback, cron for queue and scheduler",YES,All,PENDING
14,Deploy,Backups & monitoring,"Daily off-server database backup; integrity check alerting",Before launch,Deployment,PENDING
14,Deploy,Owner handover,"Credentials, runbook, how to add products and read the reports",Before launch,All,PENDING
-,Frontend,React storefront,"Product browse, search, cart, checkout, account, order tracking",YES,Phase 7/8 APIs,IN PROGRESS
-,Frontend,React admin panel,"Products, inventory, orders, customers, accounting, reports, settings",YES,Existing APIs,IN PROGRESS
-,Decision,Dev password in repo,"upokoron-dev-2026 is in OwnerSeeder fallback and docs; guarded but public",Your call,-,OPEN QUESTION
